text,reposts_count,comments_count,attitudes_count,label
#爆料者承认梓渝录音视频为AI#请苍天鉴忠奸！源头来自这里！上次酒店监控，梓渝脖子上蚊子包，加上这次的AI录音都是这里传出来的！！！,318,347,8899,0
#爆料者承认梓渝录音视频为AI#请田栩宁粉丝适可而止，不要再给无辜的梓渝和梓渝粉丝造谣了,0,0,8899,0
#上海绿捷8人被逮捕#绿捷非法中标86个校园餐项目，是怎么做到的呢？很遗憾地告诉大家，今天这篇可能是本账号最后一篇文章了。但是没关系，我认为校园餐的长久安全比一个账号的存亡重要得多。如果所有人都不把背后的真问题指出来，都假装这只是一起黑心资本家违法犯罪的个案，那吊销一个绿捷，还会有更多红捷、黄捷在其他城市继续趴在孩子们的午餐上吸血。既然没有别人说，那我来吧：所有的串通投标、围标行为，一定都有一个前提，叫作“内定”。如果只处罚串通投标的公司，不追查“内定”哪家公司中标的神仙，那就永远只能治标不治本。据“绿捷食安事件”调查组11月14日通报：调查发现，绿捷公司还存在串通投标行为，勾连多家招标代理公司，通过组织陪标公司进行“围标”的方式，非法中标86个校园餐服务项目。期间，张某华指使中间人黄某联系招标代理公司承接招投标业务；蒋某等2名招标代理公司负责人，参与实施“围标”行为。给不了解招投标流程的读者简单介绍一下“围标”是怎么回事：现在有一个校园餐项目要公开招标，理论上，只要是符合资质条件的餐饮公司都可以来投标参与竞争。校园餐的生意客源稳定且庞大，利润非常可观，魔都这么大一座城市，保守估计也有几十家餐饮公司具备供应校园餐的资质和能力。最理想的情况下，所有具备资质的魔都餐饮公司都来投标，竞争这个赚钱的机会，那么甲方就可以根据各家公司提供的配餐方案和报出的价格，选择一家综合评分最高的供应商。绿捷公司的“围标”操作，就是除了绿捷公司自己参与投标之外，它还要另外找至少2家公司来陪标。这几家陪标的公司需要满足投标的资质，同时给出的方案要比绿捷差，报价要比绿捷高，这样才不会喧宾夺主抢了绿捷的风头。那么问题来了，绿捷当然可以打赢它找来陪标的公司，但它怎么能确保打赢整个魔都其他参与投标的公司呢？现实的情况是，绿捷并不需要打赢其他参与投标的公司，因为大概率根本不存在其他公司竞争投标。在这些招投标案例中，参与投标的就只有绿捷和它找的傀儡公司们。绿捷如果不找这些傀儡公司来陪标，这些招标项目根本就达不到至少3家竞标的基础要求。那么问题来了，校园餐这么利润丰厚的生意，为什么其他具备资质的餐饮公司不去参与竞争呢？是因为有自知之明实力比不过绿捷所以知难而退吗？还是其他不想挣这个钱呢？所有公司都比不过绿捷那是不可能的，即便绿捷实力最强，其他公司还可以通过压缩利润降低报价的方式来竞争，少赚总比不赚要好。而且，就算那些阿猫阿狗的公司实力比不上绿捷，那现在接管魔都校园餐的光明集团实力也比不上绿捷吗？为什么光明之前不参与投标呢？其他公司不想挣这个钱也是不可能的。绿捷是上市公司，财报都是公开的，往年校园餐业务丰厚的利润是众所周知的，其他公司怎么可能不眼红呢？排除所有这些可能性之后，答案就只剩下最后一种可能性了：那就是绿捷中标是被内定的。同行都知道这个项目是内定了绿捷中标的，那自家公司没打招呼去投标就纯属浪费时间、自取其辱。所以才没有其他的竞争对手去投标，所以绿捷才需要自己找几家公司来陪标走个过场。再次强调一个招投标领域的基本常识：所有的串通投标、围标行为，一定都有一个前提，叫作“内定”。没有内定，就不存在围标。那么，在这86个校园餐服务项目中内定绿捷中标的人，到底是谁呢？是这些学校的体育老师，还是食堂的保洁阿姨，还是这些学校的校长呢？我想，他们大概都没有这个能量。真是好难猜啊……,3013,190,9182,1
干过招投标的都知道现实的情况是，绿捷并不需要打赢其他参与投标的公司，因为大概率根本不存在其他公司竞争投标。排除所有这些可能性之后，答案就只剩下最后一种可能性了：那就是绿捷中标是被内定,1,0,9182,1
毛茸茸的水果开了N个微信群非公开集资，一天一个群可以集资十万元+，有人质疑就会受到管理员的围攻，然后解散群????重新建群????重新审核，这种情况有没有谁可以管管呢？！喜欢为这家粉圈“打抱不平”的那些所谓的“挣e之士”，出来走两步呢～@老崔的采访本L超话宝宝就是我_编锯版的微博视频,9,46,806,1
粉圈集资？？这是顶着追星的名义干违法的事啊。,0,0,806,0
女子发布视频，称自己到兰州旅游，仅半夜找酒店借用剪刀就被保安“威胁”，提醒大家避雷该店里，结果翻车了。?酒店明显是怕女子半夜用剪刀做出什么伤害自己的事，保安在外面等着生怕出了什么意外，没想到还是被小作文攻击了。?真是让人哭笑不得，也不怪兰州文旅也忍不住在女子视频下留言一个“哎”字。,62,154,1690,1
来货了鸭屁,0,0,1690,0
#警方通报华中农大一博士在校溺亡#意外溺亡的，是华农一位分子生物学的博士。华农的情况比较复杂，它是单个校园面积最大的高校，占地7000多亩。三面环湖，不是校园里那种小水坑，而是武汉市的两个大湖：南湖和野芷湖。,16,53,617,1
郭教主还是什么都知道啊,0,0,617,0
过苏联论。L江山--戴老板的微博视频,40,11,71,0
星空下的翁墩油库，藏着石化人的坚守。他们以夜色为伴，用初心守岗位，让每一份责任都带着星光的温暖。晚安，祝大家好梦！#为美好生活加油#,6,8,34,1
关于网传“免费采捡白菜”事件，官方通报！新华网2025年11月17日21:07北京关于网传“免费采捡白菜”事件调查处理情况的通报近日，部分网络平台账号发布信息反映松山区“免费采捡白菜”引发社会关注。松山区随即成立了由区委宣传部、区委政法委、区公安分局、区农牧局等有关部门组成的联合调查组，通过走访询问、调取视频、筛查人员、核查数据等方式，查源头、查动机、查责任，对此事进行全面核实处理。现将有关情况通报如下。一、事件基本情况经核实，网传视频中提及的“免费白菜”地块，系当地村民孙某某于今年4月7日竞拍租赁，面积485.9亩，租期一年。获得土地租赁权后，孙某某将其中的190亩土地以原价分租给李某某、赵某某、廉某某、王某。这其中，105.9亩由孙某某种植玉米，其余380亩种植两茬作物（孙某某190亩、赵某某80亩、李某某和廉某某合伙70亩、王某40亩），第一茬种植西瓜，第二茬种植白菜，白菜于10月份开始售卖。经采购商证实，事件发生前，5名种植户已陆续销售品质较好的白菜201万斤，获得销售收入46.1万元。经调查核实，此事系网络平台用户发布免费采捡白菜不实信息、部分网民转载传播、红山晚报记者未深入核实予以报道、部分群众受媒体误导采捡白菜、个别自媒体“失真发声”引发的。事情的主要经过为：11月3日14时，首发视频的网民黄某某与朋友驾车经过当铺地村，发现有三名中老年人在上述地块采捡白菜，交流后得知无人制止，随即采捡3棵白菜，并拍摄了视频。黄某某为了增加个人账号流量，于当日15时在网络平台发布视频，且在评论区回复菜地具体位置。该视频随即被王某某、苏某某等部分网友转发。4日21时，红山晚报记者刘某某联系王某某、苏某某了解情况，在未到现场核实的情况下，于5日上午10时通过官方账号发布题为“继免费捡土豆后又有新惊喜，赤峰一地可免费砍白菜”的视频，引来更多群众前往采捡白菜。6日，种植户李某某向在自家菜地采捡白菜的群众询问，得知是看到红山晚报发布的视频过来的，遂私信红山晚报询问其信息来源，并要求给予答复，红山晚报未予答复。16时，李某某利用网络表达个人诉求，发布视频称“两天的时间400亩地一扫而空”“损失达100万元”，引起了更多网民关注。李某某始终未向公安机关报案，在公安机关主动联系询问情况时，明确表示不追究捡菜群众的法律责任，但要求红山晚报给个说法。7日起，一些网络媒体先后转载种植户李某某发布的视频，有关信息在网络上扩散蔓延，引发更多转发评论。经公安机关调查，部分自媒体为博取流量、增加收入，发布不实信息，进一步扩大了不良影响。其中一些稿件由AI软件生成，大量内容与真实情况不符，所配图片由网上下载，非涉事菜地现场图片。经调查询问，到现场采捡白菜的群众获取“免费白菜”信息的途径不一，有的源于附近居民口口相传，有的源于自媒体账号发布的视频，有的源于红山晚报发布的信息。到现场采捡的群众普遍认为白菜免费，有些群众是抱着玩的心态凑热闹，大部分群众反映现场无人劝阻。自黄某某发布视频之后，陆续有周边群众到现场采捡白菜，高峰时达到百余人。经进一步核实，事件发生前，5名种植户的380亩白菜已经多轮择优选收，大部分优质白菜已被采收完毕，未售白菜受低温霜降冻害影响，质量明显下降，群众采捡后，有的食用，有的喂养畜禽。联合调查组委托具备法定资质的评估机构对涉事地块损失情况进行评估测算，综合市场价格、环境气候、收割方式等因素，测定种植户损失为9.52万元，李某某等5名种植户对评估结果表示认同，联合调查组组织相关责任方就补偿事宜达成了一致意见，并已补偿到位。二、调查处理情况根据以上调查核实情况，松山区和有关部门按照管理权限，依法依规分别对涉事媒体、主办单位和相关责任人追究有关责任。一是追究首发视频人员责任，依据《中华人民共和国治安管理处罚法》有关规定，公安机关对黄某某虚构事实、扰乱公共秩序行为予以治安处罚，并承担相应民事责任。二是追究转发不实信息人员责任，公安机关对王某某、苏某某未经证实在自媒体转发不实信息的行为予以批评教育。三是追究种植户李某某发布不实信息责任，公安机关对其夸大事实、造成不良影响的行为予以批评教育。四是追究市属官方媒体责任。根据联合调查组移送的调查情况，市委宣传部对市融媒体中心（红山晚报主办单位）主任和总编辑以及副主任兼红山晚报总编辑进行约谈，责令市融媒体中心党委作出书面检查；市互联网信息办公室给予红山晚报警告处罚，责令限期改正违规行为；市新闻出版广电局给予红山晚报通报批评处罚，责令其公开道歉，依法承担民事责任，注销记者刘某某的新闻记者证；市融媒体中心对红山晚报总编辑给予扣发本年度绩效处罚，对红山晚报全媒体采编中心主任通报批评、诫勉谈话、扣发本年度绩效，对记者刘某某停职处理、扣发本年度绩效。五是追究参与采捡白菜人员责任，公安机关对目前已追查到的涉事人员进行批评教育。六是追究已经查明虚构事实、扰乱公共秩序的网媒人员责任，根据案件管辖规定交由属地公安机关处理。这次事件的发生，暴露出我们工作存在短板和不足，主办单位对所属媒体管理不严，群众法治宣传教育亟待加强，部分干部应对处置不够及时有力。在调查过程中，我们也发现，有的人员奉行“流量至上”、利用不实信息吸睛引流，有的未加核实、机械转发，有的夸大事实、博取关注同情，有的抱着娱乐心态从众参与。在此我们呼吁，网络空间不是法外之地，我们应该保持理性、增强辨别能力，自觉守护清朗网络空间，共同营造公平有序的社会秩序。赤峰市松山区联合调查组2025年11月17日评论：这是近年来，第一次媒体因为出错被公开处理，也是唯一的一次。,46,32,228,1
事情处置明白，止头羊通告写的尚可，还有提升空间,1,1,228,0
"未经同意发“性器官照”（cyberflashing）在奥地利已构成刑事性骚扰，后果最重将获半年刑责！若未经请求，故意发送“以人类生殖器为主要内容”的影像，（包含经编辑的或AI生成的影像！）罪犯最高可获得6个月监禁或最多360日罚金（比如法院判360日，每日50欧元，总额就是18,000欧元。若罪犯缴不出会换算成替代监禁，2个日单位折算1天）。#生活笑料撞满怀#//#微博V影响力大会#//#微博兴趣创作计划#//Linternet-garcon-pdf的微博视频",642,177,8376,1
也换我圆一次,0,0,8376,0
【#25岁女孩海岛求生35天暴瘦28斤#：吃了50只老鼠，拿季军获奖7500元，准备报名下一期张家界挑战赛】#25岁女孩海岛求生吃了50只老鼠#近日，湖南张家界荒野求生挑战赛在网络上引发广泛关注。各类户外求生挑战赛涌入网友视野，在浙江温州举办的东方荒野海岛求生赛也是其中之一。11月10日，东方荒野海岛求生赛季军25岁东北女孩赵铁柱告诉@极目新闻记者，她于10月1日参加该比赛，11月4日退赛，历时35天获得季军，女子组冠军，成功减重28斤并获得7500元奖金。#荒野海岛求生赛仅剩2名选手还在坚持#“每天干干活，打打野，非常充实，也没有不断的消息提醒。”赵铁柱来自辽宁大连，她从小生活在海滨城市，因此，赶海捕鱼对她来说不是难事。海岛上食物来源相对丰富，退潮时能捡到海胆、螃蟹、鲍鱼等海鲜，每天补充大量蛋白质，赵铁柱的体重快速下降。“不能摄入蛋白质，还要补充一些脂肪，所以我开始抓老鼠，第一次剥皮的时候手还有点抖，但慢慢地就杀麻木了。”赵铁柱说，这是她第一次吃老鼠，没想到味道还不错，35天大约吃了50只老鼠，退赛时还有一些老鼠干没有吃完，除了抓老鼠之外，她第一次独自猎杀了一头羊，也尝试过蜈蚣等食物。然而，35天的海岛求生生活并不是一帆风顺的。高温暴晒和蚊虫叮咬都是难题，岛上温度大约40摄氏度，赵铁柱说，她身上晒脱了两层皮，“现在变成了黑皮辣妹。”她调侃道。比赛前期，赵铁柱的脚部被蚊虫叮咬后引发感染，因天气炎热，伤口反复发炎，历经十余天才愈合。长时间的荒野劳作让赵铁柱的手上布满裂口，脚部结满老茧、留有多处伤口与疤痕。11月4日，海岛上刮起了台风，雨下得很大。“那时候我的庇护所一直在漏雨，很潮湿，想回去睡大床房了，而且我的目的也达到了，也没必要继续遭罪了。”赵铁柱说。“最后的结果我还是非常满意的，我没有经验，想着能生存几天是几天，没想到能坚持35天还能瘦28斤，从170斤减到142斤，还赚了7500元，我都觉得自己超厉害。”赵铁柱告诉极目新闻记者，她打算报名参加下一期张家界荒野求生挑战赛，以后从事与户外挑战相关的工作。东方荒野海岛求生赛负责人耿先生告诉记者，目前第一期比赛仍在进行中，尚有2名男选手坚持参赛。赛事设置方面，冠军可获5万元奖金，选手坚持满30天可获得6000元奖励，超出30天的部分，每天额外增加300元奖励。“我们举办这个比赛，主要是觉得海岛求生很有魅力，希望能缓解大家的一些精神压力，比起张家界的荒野求生没这么硬核，海岛上物资相对来说比较丰富，预计月底会举行下一期比赛。”耿先生说。（极目新闻记者满达见习记者毕若雪）,376,665,8247,0
爆炸源头系一辆现代汽车《印度快报》报道，官员称，是一辆载有三名乘客的现代i20轿车发生爆炸。爆炸发生在车辆后部，现场未发现弹坑。当局确认伤亡者体内均未嵌入钉子或金属丝，且受害者身上未见烧伤或炭化痕迹。特别行动小组正与法医专家共同勘查车辆残骸，以追查车牌号并收集更多证据。#印度汽车爆炸已造成至少8人死亡#南亚超话#海外新鲜事#印度超话,1,14,31,0
发帖人已删帖跑路#疑似梓渝录音是AI合成#,5863,1063,42078,0
#梓渝#//#梓渝喜欢我的英雄学院#一问瑞鹤艺人梓渝为何不转发t//w任务博？二问梓渝为啥选秀出不了道下海提不了纯？三问梓渝说好的退圈直播何时播？四问梓渝为何明明崆峒女友不断还一直单机麦麸？五问梓渝粉丝自家rs频频带前同事下场？@微博智搜[/cp]//@蜥鸟:#梓渝#//#疑似梓渝录音泄露#一问瑞鹤艺人梓渝为何不转发t//w任务博？二问梓渝为啥选秀出不了道下海提不了纯？三问梓渝说好的退圈直播何时播？四问梓渝为何明明崆峒女友不断还一直单机麦麸？五问梓渝粉丝自家rs频频带前同事下场？@微博智搜,0,0,42078,0
尊敬的李思林女士：本人在此郑重向您致以最诚挚的歉意。因本人在微博平台发布的视频内容中，未经许可擅自使用您的照片作为视频配图；对热点新闻没有履行事实核查义务，发表了主观臆断言论和不实猜测，侵犯了您的肖像权和名誉权，对您的个人形象和精神造成了伤害与困扰。经过法院审理，我已深刻认识到自身行为的违法性和不当性。作为内容创作者，本应恪守法律底线、尊重他人权益，却因法律意识淡薄和内容审核疏忽，导致此次侵权事件的发生。对此我深感惭愧与懊悔，并完全尊重和接受法院的判决结果。为消除不良影响，我已第一时间删除相关视频。再次为我的错误行为向您表达最诚恳的歉意，恳请您的谅解。也感谢社会各界对此事的监督与批评，望引以为戒，共同维护清朗网络空间。特此致歉！,6,7,35,0
??卢浮宫劫案爆红的路人结果是当地一个还戴着牙套的15岁小孩??#歪果仁高能现场#//#一分钟视频创作季#//#我的幽默灵感片场#//Linternet-garcon-pdf的微博视频,83,23,888,0
我不行了,0,0,888,0
俄罗斯小男孩跌入电梯井:父亲伸手抓空后立刻跳进井内救援L名字长就有人才跟着读的微博视频,15,7,54,0
一只??冒充外国人，试图网暴一个婴儿，被各国人戳穿日本人的虚伪后，有日本人出来解释这只??不是日本人,31,27,451,0
毫无底线，??和小鬼子都该死//@台湾傻事:,0,0,451,0
女孩子一个人晚上不要太晚回家，太危险了#社会百态##资讯#L蚂蜂在运动的微博视频,39,19,274,0
转,0,0,274,0
宝宝太可怜了,0,0,196128,0
韩国将新增一天公休日17日据韩媒报道，韩国国会行政安全委员会审议并通过了一项“公休日相关法律修订案”，将制宪节重新指定为公休日，如没有特殊情况变更，7月17日制宪节将成为韩国公休日。,710,177,1438,1
？,0,0,1438,0
【#福州一餐馆筷子出现玻璃纤维#】#餐馆回应筷子出现玻璃纤维#11月8日，福建一网友发帖爆料，自己与男友在福州蔡记天泉羊肉炉火锅店就餐时，男友突然感觉手部刺痛，打开手机闪光灯察看后发现，大拇指和食指上有不少亮晶晶的细小纤维。仔细观察才发现，这些纤维竟来自两人使用的筷子，疑似玻璃纤维。11月10日上午，记者致电涉事火锅门店，工作人员回应称已与餐具公司对接，因事发时自己不在现场，不清楚筷子上的是否为玻璃纤维，也无法说明后续处理方案。该门店辖区的市场监督管理所则表示，相关情况需由投诉当事人亲自查询了解。（极目新闻）@板扎在线详情戳↓↓↓O网友投诉福州一火锅店筷子出现玻璃纤维，导致顾客手部被扎，店方回应,2,3,10,0
#爆料者承认梓渝录音视频为AI#一直在造谣想怎样呢,0,0,8899,0
魏大勋超话#魏大勋1215出道17年快乐#??#魏大勋#?差三分生是生命的生，生存的生，民生的生，生生不息的生。?@魏大勋?魏大勋陆鸣｜魏大勋无罪之身｜MaisonKitsune｜魏大勋薇诺娜｜魏大勋WEDGWOOD大中华区品牌代言人|魏大勋TUMI途明｜魏大勋叶信之｜魏大勋无可替代L悦游中国的微博视频,5,20,29,0
日本，拿了快30个诺奖，登不了月球火星。英法德，加起来300多个诺奖，也登不了火星。但我们呢，科技诺几乎为0，不也月球火星都上去了，还从月亮上挖了把土回来。,250,696,6369,0
//@股海东方不败:社会的贫富差距，社会的民生冷暖，才是吾辈更应关注的问题。,0,0,6369,1
薛剑对砍头贴据说已经删掉了，最近又来了一个更厉害的，毁灭民族，这个难度有点大吧？根本不可能！大和民族也有很多对华友好人士，日本极右势力是我们的敌人，日本人民和我们中国一衣带水，中日友好要世世代代友好下去，这是中国人民的伟大领袖给我们的嘱托啊！无论何种情况下，你可以消灭极右势力，现在就动手都可以，就从大阪开始，越早越好，干掉他们去！但是，不能毁灭整个民族。,56,56,117,0
回复@马跃成:说的对，你就这水平了，没说错//@马跃成:就这水平，也只能这样了！//@透明的霞光:日本右翼骂我们，我们凭什么不能骂回去？要我们挨骂也唾面自干，你是在以理中客为幌子替日本右翼开脱吗//@马跃成:你喜欢跟日本右翼学？他过嘴瘾，你也过嘴瘾？他不是人，你也不是人？//@threekingdom:是啊，日本右翼过嘴瘾，中国人为什么不能过嘴瘾？本来//@马跃成:你喜欢跟日本右翼学？他过嘴瘾，你也过嘴瘾？他不是人，你也不是人？//@threekingdom:是啊，日本右翼过嘴瘾，中国人为什么不能过嘴瘾？本来就是日本右翼先挑事，你反对破坏中日关系，却挑拨怂恿中国人去线下来真的，你这想法来自何处？//@马跃成:都不是真的？你们都是过嘴瘾？啊！一帮只会过嘴瘾,0,0,117,0
静冈县消防技术训练,585,147,4015,0
烧起来了,0,0,4015,0
#宁波妇幼#我看到有人竟然说做手术医生也不敢保证百分百没有风险是没有百分百，但是为什么要隐瞒家属？手术已经失败了为什么告诉家属手术成功，还有同一天第二次手术为什么没有告知家属确认签字？先不说这个医生的技术水平怎么样（卵圆孔未闭很大概率不需要做手术，并且会在一岁之内自然闭合），医德就存在问题，真建议查查这个医院是怎么让这个医生在不久之前就存在重大医疗事故的情况下仍然能够正常给患者看病做手术同时我觉得如果大家遇到需要做手术或者生病稍微严重一点的，多找几家三甲医院，多找几个专家医生评估一下，综合考虑之后再做决定,0,6,24,0
"#赤峰通报免费采捡白菜事件#【关于网传“免费采捡白菜”事件调查处理情况的通报】据今日松山，近日，部分网络平台账号发布信息反映松山区“免费采捡白菜”引发社会关注。赤峰市松山区随即成立了由区委宣传部、区委政法委、区公安分局、区农牧局等有关部门组成的联合调查组，通过走访询问、调取视频、筛查人员、核查数据等方式，查源头、查动机、查责任，对此事进行全面核实处理。现将有关情况通报如下。L新华社的微博视频一、事件基本情况经核实，网传视频中提及的“免费白菜”地块,系当地村民孙某某于今年4月7日竞拍租赁，面积485.9亩，租期一年。获得土地租赁权后，孙某某将其中的190亩土地以原价分租给李某某、赵某某、廉某某、王某。这其中，105.9亩由孙某某种植玉米，其余380亩种植两茬作物（孙某某190亩、赵某某80亩、李某某和廉某某合伙70亩、王某40亩），第一茬种植西瓜，第二茬种植白菜，白菜于10月份开始售卖。经采购商证实，事件发生前，5名种植户已陆续销售品质较好的白菜201万斤，获得销售收入46.1万元。经调查核实，此事系网络平台用户发布免费采捡白菜不实信息、部分网民转载传播、红山晚报记者未深入核实予以报道、部分群众受媒体误导采捡白菜、个别自媒体“失真发声”引发的。事情的主要经过为：11月3日14时，首发视频的网民黄某某与朋友驾车经过当铺地村，发现有三名中老年人在上述地块采捡白菜，交流后得知无人制止，随即采捡3棵白菜，并拍摄了视频。黄某某为了增加个人账号流量，于当日15时在网络平台发布视频，且在评论区回复菜地具体位置。该视频随即被王某某、苏某某等部分网友转发。4日21时，红山晚报记者刘某某联系王某某、苏某某了解情况，在未到现场核实的情况下，于5日上午10时通过官方账号发布题为“继免费捡土豆后又有新惊喜，赤峰一地可免费砍白菜”的视频，引来更多群众前往采捡白菜。6日，种植户李某某向在自家菜地采捡白菜的群众询问，得知是看到红山晚报发布的视频过来的，遂私信红山晚报询问其信息来源，并要求给予答复，红山晚报未予答复。16时，李某某利用网络表达个人诉求，发布视频称“两天的时间400亩地一扫而空”“损失达100万元”，引起了更多网民关注。李某某始终未向公安机关报案，在公安机关主动联系询问情况时，明确表示不追究捡菜群众的法律责任，但要求红山晚报给个说法。7日起，一些网络媒体先后转载种植户李某某发布的视频，有关信息在网络上扩散蔓延，引发更多转发评论。经公安机关调查，部分自媒体为博取流量、增加收入，发布不实信息，进一步扩大了不良影响。其中一些稿件由AI软件生成，大量内容与真实情况不符，所配图片由网上下载，非涉事菜地现场图片。经调查询问，到现场采捡白菜的群众获取“免费白菜”信息的途径不一，有的源于附近居民口口相传，有的源于自媒体账号发布的视频，有的源于红山晚报发布的信息。到现场采捡的群众普遍认为白菜免费，有些群众是抱着玩的心态凑热闹，大部分群众反映现场无人劝阻。自黄某某发布视频之后，陆续有周边群众到现场采捡白菜，高峰时达到百余人。经进一步核实，事件发生前，5名种植户的380亩白菜已经多轮择优选收，大部分优质白菜已被采收完毕，未售白菜受低温霜降冻害影响，质量明显下降，群众采捡后，有的食用，有的喂养畜禽。联合调查组委托具备法定资质的评估机构对涉事地块损失情况进行评估测算，综合市场价格、环境气候、收割方式等因素，测定种植户损失为9.52万元，李某某等5名种植户对评估结果表示认同，联合调查组组织相关责任方就补偿事宜达成了一致意见，并已补偿到位。二、调查处理情况根据以上调查核实情况，松山区和有关部门按照管理权限，依法依规分别对涉事媒体、主办单位和相关责任人追究有关责任。一是追究首发视频人员责任，依据《中华人民共和国治安管理处罚法》有关规定，公安机关对黄某某虚构事实、扰乱公共秩序行为予以治安处罚，并承担相应民事责任。二是追究转发不实信息人员责任，公安机关对王某某、苏某某未经证实在自媒体转发不实信息的行为予以批评教育。三是追究种植户李某某发布不实信息责任，公安机关对其夸大事实、造成不良影响的行为予以批评教育。四是追究市属官方媒体责任。根据联合调查组移送的调查情况，市委宣传部对市融媒体中心（红山晚报主办单位）主任和总编辑以及副主任兼红山晚报总编辑进行约谈，责令市融媒体中心党委作出书面检查；市互联网信息办公室给予红山晚报警告处罚，责令限期改正违规行为；市新闻出版广电局给予红山晚报通报批评处罚，责令其公开道歉，依法承担民事责任，注销记者刘某某的新闻记者证；市融媒体中心对红山晚报总编辑给予扣发本年度绩效处罚，对红山晚报全媒体采编中心主任通报批评、诫勉谈话、扣发本年度绩效，对记者刘某某停职处理、扣发本年度绩效。五是追究参与采捡白菜人员责任，公安机关对目前已追查到的涉事人员进行批评教育。六是追究已经查明虚构事实、扰乱公共秩序的网媒人员责任，根据案件管辖规定交由属地公安机关处理。这次事件的发生，暴露出我们工作存在短板和不足，主办单位对所属媒体管理不严，群众法治宣传教育亟待加强，部分干部应对处置不够及时有力。在调查过程中，我们也发现，有的人员奉行“流量至上”、利用不实信息吸睛引流，有的未加核实、机械转发，有的夸大事实、博取关注同情，有的抱着娱乐心态从众参与。在此我们呼吁，网络空间不是法外之地，我们应该保持理性、增强辨别能力，自觉守护清朗网络空间，共同营造公平有序的社会秩序。赤峰市松山区联合调查组2025年11月17日",2417,752,10151,0
讲得很清楚//@专业戳轮胎熊律师:总算是有个结果了,0,0,10151,0
我暂时是不想回收安卓国家论的发言的，这不是社达，而是一种客观描述。听朋友描述了她入境危地马拉的流程实在太吓人了，边境处和墨西哥互相踢皮球、酒店床虱大爆发不说，边检居然还试图破坏护照上贴的美签...对比下来，埃及坎昆围着你诈骗，入境给小费已经不算事了。感觉她总结得太对了，旅行看到的风景背后不是自由，而是代价。如果你只有几天年假，你愿意再花个几天和这些事周旋和对线吗？所以一有假老中往东京大阪首尔曼谷涌没啥可指摘的，有限的精力时间金钱留给治安好旅游业成熟的地，毕竟平时已经够苦了。,0,2,30,0
两女子喂老人吃饭方式引争议，扒开嘴巴往下倒。。。。。#一分钟视频创作季##我的幽默灵感片场#L萌狗突袭的微博视频,68,319,3392,0
太没人性了,0,0,3392,0
#副院长出轨眼科主任医院6月刚被罚##严华之子人小事件##哔哩哔哩动画#常州超话L需求公道的母亲的微博视频,101,176,170,0
这样的行为必须要得到严惩,0,0,170,0
本人出门穿衣服就这样,0,0,888,0
电梯超载，男子不肯下去，僵持10分钟后起争执，男子被扇巴掌锁喉。L高质男的微博视频,1,2,20,0
【】来来来不说别的，你觉得把一个残忍至极的虐杀案受害者塑造成一个魅魔很合理的事？,1275,350,33148,0
